"","X2206_WT","X2208_WT","X2260_WT","X2265_WT","X2266_WT","X2352_WT","X2354_WT","X2199_Arom","X2261_Arom","X2284_Arom","X2285_Arom","X2253_Arom","Accession","Peptides.used.for.quantitation"
"202",1807392.99,2064057.96,2224163.64,1590896.5,1872932.71,2312621.47,1985885.48,1637967.12,2024574.84,1871507.08,1956912.12,2251458.91,"Q9JMD3",13
"203",1374285.5,1713681.21,1691659.64,1279429.79,1382817.42,1754097.89,1854558.51,1388446.19,1508664.09,1632439.66,1954906.65,1943780.55,"Q9JHI5",12
"204",1420910.92,1678871.08,1522126.87,1288110.53,1531267.39,1574527.53,1566944.45,1144903.17,1239773.53,1372640.34,1506849.67,1645506.74,"Q9CZU6",12
"205",1554046.27,1578051.1,1724233.98,1300061.98,1479674.69,1989808.64,1953236.44,1404840.2,1813335.19,1867914.82,1827714.46,2009765.92,"Q64105",12
"206",1172011.13,1193759.23,1226991.64,807881.81,951364.08,1298645.43,1150291.71,1327155.36,1792903.31,1291330.13,1477676.22,1548656.32,"P47199",12
"207",738755.47,517004.55,633734.11,569912.01,715171.29,600924.72,1541471.41,362910.34,712151.1,851135.74,603580.22,615104.7,"Q9D8E6",14
"208",756182.17,1250619.99,1175011.25,883838.78,1008819.91,1237688.96,874878.13,838763.18,1189486.05,1037657.62,1334810.31,1270839.73,"Q8VCN5",12
"209",1315002.52,1400528.54,1330163.52,943875.6,1098367.92,1544773.61,1671435.46,1081367.04,1316719.92,1294193.86,1372314.1,1544832.73,"Q9WTP6",13
"210",1389664.5,1582002.74,1372946.29,975554.97,1278501.62,1671620.14,1453522.52,1647699.36,2203028.18,1931483.99,1833863.58,2135606.95,"Q91V76",13
"211",691121.23,859859.9,846017.15,695790.1,731173.43,958491.64,1078242.3,772214.25,948663.6,960302.89,881628.98,1042031.19,"P62259",12
"212",1268929.25,1209514.94,1393817.43,874755.25,1092291.55,1205536.75,1267908.41,972704.5,1145808.8,1098423.25,1083270.08,1267463.74,"Q99LB2",12
"213",540703.41,843441.45,527874.6,468212.18,685755.04,920482.55,796197.1,1270116.44,1610482.24,1925750.96,2139836.56,2625588.68,"Q71RI9",12
"214",483589.07,475924.91,465766.02,327825.93,431824.09,550036.01,642634.8,433904.85,584976.12,501881.22,476999.58,519411.65,"P97494",12
"215",811180.42,1071103.89,864720.44,737923.68,922516.68,892733.67,871509.27,630559.22,866227.66,752722.79,930715.58,807147.17,"P36552",12
"216",349458.18,588269.36,635542.06,453393.09,609295.1,682447.62,554541.55,525945.21,639383.84,590434.66,591266.11,633942.96,"P42932",11
"217",740180.63,994397.22,734581.75,336212.55,437374.28,732483.59,1011285.09,604767.99,591015.02,948511.16,1074685.65,1117433.64,"Q99JY0",12
"218",336387.26,495471.8,448533.29,283118.02,371337.35,593009.35,509677.47,452873.13,462339.9,449400.85,563350,913728.75,"P52825",12
"219",770666.03,1005842.32,945365.25,724977.61,815364.06,1142804.59,1022016.16,298068.7,357754.21,305486.14,258654.06,385872.95,"Q9QYY9",12
"220",443328.4,688379.83,658373.18,478047.89,551392.99,754438.78,708405.29,542023.66,738481.94,710816.36,777018.49,752052.82,"Q91VI7",12
"221",131396.64,197337.66,204634.18,101252.06,145690.49,216599.85,197702.81,412140.21,590289.71,562093.39,558525.7,786171.48,"Q14DH7",12
"222",625181.98,601488.28,811108.08,390346.59,558821.84,652672.59,754439.2,883217.15,1093522.22,1170066.72,1002504.97,935278.54,"Q9QXG4",13
"223",309148.73,356384.88,300860.22,254619.75,363612.79,382249.48,436504.5,389579.79,552853.14,693569.24,702461.81,643211.58,"Q9DC50",12
"224",152348.21,409652.64,408237.59,263615.47,386161.16,408102.44,267661.79,330821.23,273161.63,259256.52,345466.2,472065.19,"Q9CQN1",12
"225",10258096.3,19502236.06,19665577.64,45821135.24,45940550.57,19582128.99,24341875.44,3246754.24,4510203.91,3310374.09,4032757.68,4802133.15,"P19157",16
"226",3893572.96,4961288.53,4101640.21,3479010.04,3776077.76,6285399.27,5743734.82,6513503.35,7860834.4,8609629.92,8719891.15,11287736.19,"P52760",12
"227",3515838.91,5393431.15,4551999.95,4502857.23,5288104.85,6491646.54,6210732.54,4290358.32,4947318.71,5813890.66,4698011,7732574.38,"P11352",11
"228",3426215.68,3800619.78,3225838.21,2411034.78,3474932.27,3981953.66,3959764.63,3449373.41,4604410.76,4504056.4,4005930.08,5373232.24,"Q9CQ62",12
"229",1304840.42,1418125.89,1411568.58,847049.94,926065.58,1243119.88,1419146.71,1050779.64,1207200.38,1318017.54,1551643.62,1558813.75,"Q99MZ7",11
"230",696790.97,718462.96,832167.58,797145.3,866422.46,1006694.14,1008580.05,804533.03,906933.71,821563.67,891225.45,1093268.48,"Q93092",12
"231",774014.67,931500.65,877832.02,717243.32,874891.3,1036062.54,956411.65,749847.07,964343.77,1009698.29,1047881.08,1110146.65,"Q61598",11
"232",1299963.44,928736.36,1084409.23,967543.8,1194907.53,1042121.37,2157220.25,794522.25,1151013.4,1497322.96,1081759.87,1084832.96,"P97351",11
"233",884307.14,994517.95,939472.79,719331.97,888937.38,1139402.95,1175865.16,891715.73,1065047.79,1084254.25,1186181.29,1101647.82,"Q8VC28",11
"234",1461664.17,1831503.19,1776874.94,1420498.09,1709218.77,2002103.22,2046752.72,1142444.37,1352210.15,1232801.92,1300706.44,1645650.31,"Q8CG76",11
"235",799327.32,538823.1,696824.72,636097.84,677742.72,582026.54,1142611.94,447862.65,743465.7,849058.84,567970.43,638701.03,"P25444",10
"236",559941.1,1006248.17,857031.26,596342.08,878645.14,993378.99,903445.66,768750.75,852033.04,778448,1082108.65,1171469.09,"P53395",12
"237",1044108.61,1020846.18,1220911.34,662701.1,813602.53,1462221.49,1603291.31,1492924.8,1697416.53,1590972.11,1749367.2,2053881.32,"Q9DBA8",11
"238",475645.22,589161.66,567989.81,440225.5,540162.62,620613.27,552489.53,468169.45,554507.93,552702.96,647744.39,728651.34,"Q8C5H8",11
"239",836323.57,625804.79,740029.71,656428.15,759959.34,651991.36,1492250.73,502325.28,862691.71,983396.83,637839.39,715906.45,"P12970",9
"240",120162.46,125908.4,119156.8,78745.95,122782.01,140520.58,162852.42,115849.04,154064.31,185781.34,183317.87,176623.3,"Q8K370",9
"241",814894.16,1137983.44,1056101.01,772614.91,1003410.14,1248380.81,1133140.96,1040832.71,1253807.39,1281314.19,1557063.78,1552830.19,"Q9WTP7",10
"242",700970.77,1088146.85,1068991.2,859206.42,1109626.23,1105998.44,1157530.85,857795.94,1075484.77,930640.36,986171.53,1290916.39,"P61979",11
"243",892758.12,817886.45,893158.74,584670.75,714907.44,1011909.09,997801.49,1005080.56,1236369.71,1292977.05,1364632.1,1159458.62,"Q91X44",11
"244",322041.53,503602.04,605717.51,778416.21,632627.44,1289798.81,1409204.33,597437.2,635014.65,706846.41,498588.94,1428044.74,"Q8VCM7",11
"245",170178.38,362653.51,367211.61,311377.25,369931.85,419666.21,458399.22,301835.68,265112.04,287301.04,280495.09,583643.07,"P08226",11
"246",313380.73,502183.89,506808.37,391036.06,518841.08,573775.35,516287.95,485577.04,560106.08,535733.4,488638.2,643007.28,"P80315",10
"247",366831.75,329917.31,371855.39,264414.85,298884.13,405752.98,413531.37,527918.69,698158.56,784210.59,659447.74,629670.95,"Q9DCD0",11
"248",294305.91,395678.34,346181.6,232849.16,312862.28,454960.72,450700.69,312031.93,320564.87,369992.25,411849.91,470552.81,"Q60597",11
"249",494194.02,547558.51,441689.25,376034.7,381967.84,617326.94,611962.45,623792.51,779212.87,880639.33,1013098.64,1060929.93,"P21981",11
"250",429461.92,407972.02,275511.13,287717.28,301309.04,307960.91,546039.68,216078.49,360029.1,437638.18,302838.48,325345.92,"P29341",11
"251",281421.6,346559.24,344197.15,214882.02,297782.65,372510.75,357605.81,282857.03,370814.7,349170.65,338534.32,371743.88,"Q8K010",10
"252",408560.91,577980.97,421020.76,324705.51,412025.83,508839.39,520426.54,437532.33,489365.21,515119.13,551535.6,527086.46,"P26043",11
"253",13972121.8,13761878.14,15252517.76,14748296.97,7723330.53,32937404.38,47239357.5,18286985.4,16733761.81,16436029.62,11712097.32,81007951.06,"P02089",11
"254",4538934.33,5293125.11,5263043.13,4134708.86,4725115.09,5694011.87,5624040.29,4227008.36,5150662.87,5088819.44,5860873.71,6289884.86,"Q64433",11
"255",3874254.76,4419215.97,4289601.79,3909887.52,4492289.77,4808655.09,4759762.75,3129913.67,3548125.13,4024635.66,4097124.32,4412805.56,"P99029",10
"256",914782.71,1308069.98,1348138.29,903345.87,1007203.5,1442030.38,1248358.77,1542896.94,2037057.3,1750135.19,1898338.29,1809926.42,"Q64471",10
"257",1883817.35,2222753.47,1798663.97,1585048.01,1911500.31,2325959.99,2186266.32,1625283.34,1926846.55,2071841.73,2391007.41,2460650.71,"P62962",12
"258",906839.17,1283424.66,1368454.28,1029133.43,1337796.87,1532940.48,1263551.79,1189825.98,1360774.7,1480192.69,1350322.77,1691152.65,"Q91WS4",10
"259",977890.24,1063238.06,1060349.26,929342.32,1089201.21,1391653.4,1102882.45,817729.02,961134.18,1160271.03,1304696.83,1645482.42,"Q99J99",10
"260",998434.8,1110973.04,1048665.61,705877.09,987414.93,1334323.06,1558870.85,1053756.84,1276552.15,1702401.87,1786927.86,2001047.99,"O35423",10
"261",545169.11,610338.89,671364.03,484198.34,534614.45,781936.54,762756.58,586513.97,783677.14,723695.83,667022.82,748765.07,"P24472",9
"262",665736.94,801709.12,772225.59,445993.36,546931.02,848087.22,905981.23,676526.76,765300.34,833906.21,861882.32,888344.52,"Q3TNA1",10
"263",2041889.75,2409954.32,2014476.57,1457214.73,1860233.66,2076524.5,2543853.82,1660025.19,1918623,2128202.44,2726062.03,2604419.88,"O08756",11
"264",596286.39,415750.46,501701.99,481275.71,578274.75,445317.02,1147580.53,319218.73,629874.55,772276.97,445578.68,502144.66,"P47911",9
"265",558094.11,726137.14,648074.68,396424.69,508485.46,722623.88,674245.37,549483.34,668713.3,676660.4,675305.48,805841.82,"Q8BWF0",10
"266",940290.48,1283839.75,1134883.52,861368.59,1219080.93,1332651.11,1274972.35,1116942.46,1188524.3,1577907.83,1781507.87,1853447.99,"O88986",11
"267",452617.06,552082.25,490951.53,398155.03,550186.68,566608.3,786293.88,325999.81,510659.78,525464.36,539237.28,775761.19,"Q9D2G2",11
"268",868273,1287560.52,1034595.54,1335401.09,1308807.16,1047348.22,1200080.66,635074.01,705612.58,741945.87,838126.11,906281.67,"Q922R8",10
"269",489249.77,553648.91,467346.94,418841.67,507543.55,511233.17,459167.35,313620.21,387493.03,337550.16,442313.26,445078.7,"Q3UEG6",10
"270",306292.91,456156.38,476958.6,377368.24,437633.25,615366.22,538506.12,363937.62,435998.69,428085.83,456604.31,553698.25,"Q3ULD5",10
"271",487333.51,558058.88,601824.38,456765.62,561479.9,645774.99,704880.24,396466.31,576025.63,604039.38,588602.24,609140.6,"P50580",11
"272",734805.83,768759.57,717251.81,610376.01,723858.58,783416.55,685076.39,458657.95,535633.15,588868,706364.56,763051.3,"O09174",10
"273",495965.71,595887.95,509220.18,281076.92,361700.78,480631.32,478514.85,190604.66,209105.53,271864.6,310958.02,296515.61,"O35386",10
"274",451670.46,505708.24,492785.2,304087.94,388025.36,506051.29,477009.11,376926.32,440738.1,465501,474014.26,542793.25,"P16332",10
"275",225659.12,415223.33,423106.57,306024.53,389550.62,432587.48,380796.11,339153.52,360459.42,368666.17,383596.79,478648.83,"Q76MZ3",10
"276",373161.09,413897.05,401318.21,399174.75,402636.59,574396.1,689360.96,446379.53,518895.39,512451.31,606887.26,710946.55,"P21614",10
"277",353081.63,622359.36,446442.74,315768.44,550078.53,542815.33,578278.94,492883.25,624726.36,597734.22,659121.99,619419.52,"P11983",10
"278",373051.43,426343.32,385303.85,232847.59,298360.54,398828.47,452078.96,443397.07,551809.5,652751.65,650731.69,618879.99,"Q80XL6",10
"279",237718.21,179411.14,217497.48,177576.06,257263.13,199392.76,445946.81,120150.65,246326.8,288931.21,213791.44,181993.76,"P14148",10
"280",257762.43,431940.71,449567.95,318145.39,413331.49,460858.58,439471.6,413175.24,469749.25,437481.37,426179.35,495446.82,"P80316",10
"281",268012.43,219683.82,343809.78,164896.35,235885.17,341627.61,412033.38,390388.93,396816.13,376512.85,319318.81,449121.22,"Q9D2R0",9
"282",206811.34,440528.84,492855.35,287731.79,399849.21,475715.48,236188.95,606030.99,746886.74,469659.72,568614.29,717783.23,"Q8BWP5",10
"283",127489.82,203418.23,202862.2,162961.4,222488.61,219580.18,241075.12,179157.72,223382.03,199618.7,194276.68,248511.66,"Q8VDM4",10
"284",286480.99,379860.25,405388.21,329586.49,384345.72,409329.09,356708.76,297139.49,454989.28,357028.71,349367.7,469296.66,"Q61316",10
"285",351805.02,525689.59,410844.73,270778.77,351058.84,463099.41,510572.17,366479.02,534256.78,559844.55,624033.7,595032.18,"Q99JY9",10
"286",153249.84,211442.22,194793.71,187673.59,253091.32,271619.46,140156.5,172203.07,156662.46,166321.2,410209.52,424611.7,"Q9QZ85",10
"287",127036.97,309608.12,322070.2,287165.24,316683.35,300369.84,219123.38,257728.82,236737.72,214034.53,266825.21,349808.99,"Q9QZE5",10
"288",120202.97,244595.92,204324.5,178117.2,223635.98,247010.69,209271.51,159902.9,166888.63,151027.82,175551.9,267050.8,"Q6ZQ38",10
"289",113612.39,179536.11,199325.25,115816.05,154274.7,195540.49,171545.98,127222.52,160438.72,138799.54,150283.54,138322.94,"Q3U1J4",10
"290",923566.17,1034254.73,1137179.19,841519.27,882495.68,1130533.9,1166646.99,785308.48,1027629.23,881290.3,824641.84,913678.94,"Q99LX0",8
"291",1747699.8,2223379.61,2091448.18,1559737.74,1878001.51,2568339.34,2602648.82,1922394.99,2204893.17,2123146.71,2243572.37,2821417.5,"Q9WUM5",10
"292",1774153.53,1802538.25,2100793.39,1408154.58,1786495.6,2177400.24,1958305.82,1797976.2,2113484.98,2079632.55,2226253.49,2618669.19,"Q8VCR7",9
"293",935520.74,1006343.17,1179087.06,851008.5,824009.7,1205224.58,1449815.17,858646.8,1109167.49,1034656.7,1176023.76,1191626.22,"Q91X91",9
"294",1407144.85,1734788.81,1656566.84,1163449.9,1395426.97,2057318.63,1548312.58,1557868.93,1924378.15,1753969.96,1991400.93,2361078.24,"P42125",10
"295",1164870.14,1401277.12,1204296.42,978384.42,1189161.54,1161525.43,1406958.15,1023818.93,1488704.74,1382825.67,1509416.73,1280600.14,"Q8VCC2",9
"296",979209.09,1308702,1201154.24,1057669.72,1135331.14,1316977.11,1322109.57,1001778.33,1227155.14,1153174.13,1292818.52,1408800.54,"P63101",10
"297",730060.64,756451.99,707790.93,514499.41,626871.04,815597.68,801438.04,657269.93,771332.02,797132.39,1076934.42,1248708.48,"O55125",9
"298",512576.96,665332.72,631023.63,465022.02,615533.29,791726.26,752124.15,606991.71,741430.75,731759.18,733883,917022.32,"P63158",9
"299",115542.24,170132.5,160811.8,123999.95,178244.68,185122.09,186530.25,134832.84,158684.95,171171.12,174732.86,172251.52,"P46471",7
"300",773591.59,602877.12,745406.33,741196.46,921081.99,696318.61,1606899.53,487280.12,980714.63,1079037.71,738561.99,872959.09,"P14869",9
"301",1260272.28,799655.83,1205161.46,1044592.89,1002255.8,928850.63,1713505.18,754317.34,1230314.17,1336764.87,901942.71,1139673.64,"P62242",9
"302",404515.3,425702.83,546097.93,403738.13,449253.49,536187.31,554870.45,444766.87,546434.86,461751.08,544259.46,506506.45,"Q91X52",8
"303",648595.56,759189,723426.56,683505.88,723528.57,600303.56,841994.18,174078.64,247663.29,166380.01,158632.6,203962.99,"Q99P30",9
"304",460962.04,477358.51,458852.07,353426.62,469901.91,494520.19,606042.39,439111.91,544237.64,543729.53,725257.94,657401.66,"P10605",9
"305",422674.98,700652.5,691039.64,642949.07,709100.09,760219.56,653797.52,327986.55,397080.91,370181.29,418213.82,545692.92,"Q7TNG8",9
"306",419723.94,274527.01,399964.75,374969.18,477921.85,367266.19,876132.97,259499.16,413836.9,455477.49,367534.09,382987.06,"P62702",8
"307",708977.92,499146.51,526270.01,502299.1,651312,547428.7,1229406.28,418522.32,674886.6,814188.26,595522.44,634959.04,"P62082",9
"308",455871.64,479510.87,425425.91,284684.55,419115.6,436849.86,598366.91,280606.23,384582.12,457270.61,598922.47,659667.59,"Q91X34",8
